# Grade identity and physical constants. One row per grade, joined to
# docs/specs.csv on (family, grade) - the two files must use identical keys.
#
# docs/build-grades.mjs writes the Equivalent Grades table and the Chemical
# Composition table onto every page from this file and docs/chemistry.csv, and
# lints every page's title, meta and JSON-LD for an identifier that contradicts
# the grade the page is about.
#
# WHY THIS FILE EXISTS: on 2026-08-22 an audit of all 778 published pages found
# 4 grades publishing conflicting UNS numbers, 24 conflicting Werkstoff numbers,
# 51 grades whose sibling pages disagreed on chemistry and 61 density/melting
# disagreements - incoloy/800/round-bar cited 2.4952, which is Nimonic 80A's
# number, and monel/K-500/sheets carried Monel 400's density. Same failure the
# prices and the specs had before their CSVs existed: the same figure typed onto
# a form page, a form hub and a grade hub, with nothing keeping them in step.
#
# ---------------------------------------------------------------------------
# THE GATE: a row is published only when `checked` holds a date AND `source`
# names a bulletin. Rows marked `pending` are NOT written to any page - their
# pages keep the hand-written tables until a human verifies the row. This is
# what makes the migration safe: filling the file changes nothing until it has
# been checked, and the lint reports contradictions from day one either way.
# ---------------------------------------------------------------------------
#
# FILL A CELL ONLY FROM A MILL TECHNICAL BULLETIN. Special Metals publishes
# INCONEL, INCOLOY, MONEL and NIMONIC; Haynes International publishes HASTELLOY
# and HAYNES; ATI publishes AL-6XN. Never fill a cell from a distributor
# listing, and never from this site's own pages - the audit above proves the
# pages disagree, so seeding from them would launder today's errors into a
# "source of truth". Where a mill publishes no identifier the cell is "-";
# do not substitute a plausible-looking number.
#
# COLUMNS
#   family, grade    join key, must match docs/specs.csv exactly
#   uns              UNS number, or "-" where none is assigned. --check errors
#                    if this disagrees with the uns column in docs/specs.csv.
#   wnr              Werkstoff / EN material number, or "-"
#   en_name          EN symbolic designation (NiCr22Mo9Nb), or "-"
#   density_g_cm3    BARE NUMBER in g/cm3 - no units, no "~", no range. It is
#                    kept machine-readable on purpose: build-grades.mjs emits
#                    docs/grades.json from this column so a weight calculator
#                    can consume it directly. A range here breaks that.
#   melting_c        melting range in C as the mill publishes it, e.g. 1290-1350
#   source           the bulletin the row was read from, or "pending"
#   checked          YYYY-MM of verification, or empty while pending
#
# Some grades appear twice because the form hubs group them differently
# (nickel-alloy/Inconel 600 and inconel/600 are the same material). --check
# requires rows that share a UNS to agree on wnr, en_name and density, so the
# duplication is guarded rather than free to drift.
#
# REVIEWED QUARTERLY, like prices.csv. Bulletins get revised and standards get
# rescoped, so a row is only as good as the day it was checked against its
# source. Each pass re-verifies one family and bumps its `checked`.
#
# After editing: node docs/build-grades.mjs   then commit the changed pages.
# node docs/build-grades.mjs --check reports drift and contradictions, exits 1.

family,grade,uns,wnr,en_name,density_g_cm3,melting_c,source,checked
haynes,230,N06230,2.4733,NiCr22W14Mo,8.97,1301-1371,Haynes International HAYNES 230 alloy page and ATI 6230 datasheet (2022),2026-08
haynes,242,N10242,,,9.05,1290-1375,Haynes International HAYNES 242 alloy page,2026-08
# 282 publishes two densities, solution-annealed 8.27 and age-hardened 8.29, the
# same shape as INCONEL 718. The annealed figure stays here because grades.json
# feeds a weight calculator one bare number; the aged one is in properties.csv
# with its condition, which is the column that exists for exactly this.
haynes,282,N07208,,,8.27,1300-1375,Haynes International HAYNES 282 alloy page,2026-08
# HR-120: UNS N08120, density 8.07 (0.291 lb/in3) and melting 1300 C (2375 F),
# plus the nominal composition, read from the Haynes International HR-120
# brochure (2026-09). Haynes prints no Werkstoff or EN symbolic designation for
# it, so wnr and en_name stay empty.
haynes,HR-120,N08120,,,8.07,1300,Haynes International HAYNES HR-120 alloy brochure,2026-09
# --- TITANIUM --- Two sources, named separately in `source` the way the HAYNES
# 25 and 254 SMO rows carry two. Identity and composition come from ASME BPVC
# Section II Part B, SB-265 Table 8 "Chemical Requirements", 2023 edition, read
# 2026-08-26: the UNS number and the composition limits (docs/chemistry.csv).
# The physical constants SB-265 does not publish come from ATI's "Corrosion-
# Resistant Titanium" technical data sheet, read 2026-09-01 - density and melt
# temperature here, and modulus, beta transus, thermal conductivity and thermal
# expansion in docs/properties.csv. Titanium is not a proprietary family: no mill
# defines these grades, the standard does - the same reasoning that sources
# HASTELLOY B-2 to ASTM B333 - so the standard is the source for identity and a
# mill data sheet is the source for the constants.
#
# DENSITY IS CONVERTED, uniquely in this file. ATI prints it in lb/in3 only, and
# density_g_cm3 must be a bare g/cm3 number for docs/grades.json. 0.163 lb/in3 x
# 27.6799 = 4.51 (the CP and Pd grades), 0.160 = 4.43 (Grade 5), 0.162 = 4.48
# (Grade 9) - the canonical titanium figures. The other ATI constants stay in
# ATI's own imperial units in properties.csv, unconverted, the way the INCOLOY
# DS rows there are all imperial.
#
# MELT TEMPERATURE is ATI's "~3000 F" (= 1649 C), printed identically for every
# grade and recorded as 1650. It is an approximate single figure, not a per-grade
# range - the "approx." case VDM's 1400 C for Nichrome 70/30 already set.
#
# WERKSTOFF AND EN NAME STAY EMPTY. Neither source publishes them - SB-265 has no
# DIN field and the ATI sheet prints no Werkstoff number for any grade - so both
# cells are "not verified yet", not "-" ("the source publishes none"). Blank
# until a register that carries them is read.
#
# GRADE 6 AND GRADE 23 ARE NOT IN THE ATI SHEET. It covers ATI Grades 1-5, 7, 9,
# 11, 12 and 16-18; Grade 6 (Ti-5Al-2.5Sn) and Grade 23 (Ti-6Al-4V ELI) are not
# corrosion-resistant grades and it does not list them, so their density and
# melting stay empty and their pages keep their own hand-written figures until a
# sheet that covers them is read. Do NOT fill them from Grade 5 or Grade 2 by
# analogy - that is the copy-the-sibling error this whole file exists to stop.
#
# WHAT WAS REMOVED IN 2026-08 AND WHY. These rows once carried seeded W.Nr
# (3.7025, ...), EN names (TiAl6V4) and density/melting (4.51/1670, ...), all of
# it `pending` seed data from no named source. git has it; the ATI sheet now
# refills the density and melting half from a real bulletin, and the 4.51 it
# happened to seed for the CP grades turns out to have been right.
#
# GRADES 3, 4, 6 AND 16 were added in 2026-08 as the reason four published pages
# had no row at all - /titanium/grade-3/, grade-4/, grade-6-plates and grade-16/.
# Table 8 covers all four; the ATI sheet covers 3, 4 and 16 but not 6.
#
# 2/2H, 7/7H, 16/16H and 26/26H share one row each in Table 8; the H suffix is
# the same chemistry with a higher guaranteed minimum strength, so the grade
# key here stays the plain number.
titanium,Grade 1,R50250,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 2,R50400,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 3,R50550,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 4,R50700,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 5,R56400,,,4.43,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 6,R54520,,,,,ASME SB-265 Table 8 (BPVC.II.B-2023),2026-08
titanium,Grade 7,R52400,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 9,R56320,,,4.48,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 11,R52250,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 12,R53400,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 16,R52402,,,4.51,1650,ASME SB-265 Table 8 (BPVC.II.B-2023) (UNS and composition) and ATI Corrosion-Resistant Titanium data sheet (physical constants),2026-09
titanium,Grade 23,R56407,,,,,ASME SB-265 Table 8 (BPVC.II.B-2023),2026-08
# Special Metals publishes 200 and 201 in one bulletin, which heads alloy 200
# "(UNS N02200/W.Nr. 2.4060 & 2.4066)" and states in the 201 section that the
# grade "is designated as UNS N02201 and Werkstoff Numbers 2.4061 and 2.4068".
# Both rows were seeded with only the second number of their pair.
nickel-alloy,Nickel 200,N02200,2.4060 / 2.4066,,8.89,1435-1446,Special Metals Nickel 200 & 201 bulletin,2026-08
# 200 and 201 ARE THE SAME ALLOY WITH DIFFERENT CARBON, so they share their
# physical constants and this row's 8.89 / 1435-1446 are alloy 200's Table 2
# figures used deliberately rather than copied by accident. That is a claim the
# bulletin does not make in one sentence anywhere - it prints the constants once
# under 200 - so it was confirmed by the site owner on 2026-08-26 before this
# row was published. Not the same thing as reading a 201 physical constants
# table, and recorded here so nobody has to guess which it was.
nickel-alloy,Nickel 201,N02201,2.4061 / 2.4068,,8.89,1435-1446,Special Metals Nickel 200 & 201 bulletin,2026-08
nickel-alloy,Monel 400,N04400,2.4360 / 2.4361,,8.80,1300-1350,Special Metals MONEL alloy 400 bulletin,2026-08
# THESE THREE ARE THE SAME MATERIALS AS inconel/600, inconel/625 and
# incoloy/825 above, listed again under the form-hub family key - the same
# arrangement as the Hastelloy C-276 row below. No page resolves to any of them
# for identity; what needs them is docs/specs.csv, whose matching nickel-alloy
# rows fill the grade x spec tables on the seven generic nickel-alloy form hubs
# (/nickel-alloy-wire-.../, /nickel-alloy-coil-.../ and so on). Delete these and
# build-grades.mjs fails with "specs.csv has X but grades.csv does not", because
# the two files must list the same keys.
#
# They were cleared of `pending` on 2026-08-26 rather than deleted. Every figure
# is transcribed from the verified twin, which was itself read from the bulletin
# now cited here - so the citation is true of every cell in the row, which is
# the test that matters. The shared-UNS check above is what keeps them honest
# from here: a twin that drifts on wnr, en_name or density fails the build.
#
# en_name WAS CLEARED ON THE TWO INCONEL ROWS to match their twins. They were
# seeded NiCr15Fe and NiCr22Mo9Nb; the verified inconel/600 and inconel/625 rows
# leave that cell empty, and empty means "not verified yet". Publishing a
# designation the cited bulletin was never checked for, under that bulletin's
# name, is the one thing the source column must never be made to do.
nickel-alloy,Inconel 600,N06600,2.4816,,8.47,1354-1413,Special Metals INCONEL alloy 600 bulletin,2026-08
nickel-alloy,Inconel 625,N06625,2.4856,,8.44,1290-1350,Special Metals INCONEL alloy 625 bulletin,2026-08
nickel-alloy,Incoloy 825,N08825,2.4858,NiCr21Mo,8.14,1370-1400,Special Metals INCOLOY alloy 825 bulletin,2026-08
# Read from the VDM Alloy 602 CA / Nicrofer 6025 HT data sheet of March 2022.
# Table 1a heads the grade "2.4633 - NiCr25FeAlY" against standard D and
# "N06025" against UNS, so both identifiers are the mill's own. Density was
# seeded 7.90 and the sheet prints 7.93 g/cm3 at 25 C; melting range 1340-1400 C
# confirms the seed. The grade key stays "602 CA" rather than "Alloy 602 CA"
# because gradeForUrl resolves it from the /nickel-alloy/602-CA/ URL segment.
nickel-alloy,602 CA,N06025,2.4633,NiCr25FeAlY,7.93,1340-1400,VDM Alloy 602 CA data sheet (March 2022),2026-08
# Kovar, verified 2026-08-27 against ASTM F15-04 (Reapproved 2022). The standard
# gives the UNS number in its scope and its keywords block and nothing else that
# belongs in this row, so four of the five data cells are EMPTY rather than "-".
#
# wnr is empty and not "-" even though 1.3981 is on three of the Kovar pages and
# is almost certainly right. F15 has no DIN or EN field at all - it is an ASTM
# document and simply does not carry one - so its silence is not the deliberate
# blank a Haynes DIN row or an Alleima standards panel would be. Recording "-"
# would claim no such designation exists. Empty leaves the pages' own 1.3981
# alone and leaves the lint quiet about it, which is the honest state until a
# source that does publish Werkstoff numbers is read.
#
# density and melting are empty for the same reason: F15 publishes neither. What
# it does publish is the coefficient of thermal expansion, in Table 4 - 4.60 to
# 5.20 um/m.C over 30-400 C and 5.10 to 5.50 over 30-450 C. That is the defining
# property of a sealing alloy and it belongs in docs/properties.csv, not here.
nickel-alloy,Kovar,K94610,,,,,ASTM F15-04 (Reapproved 2022),2026-08
# The same material as hastelloy/C-276 above, listed again under the form-hub
# family key. No page resolves to this row today, but --check only compares
# wnr, en_name and density across rows sharing a UNS - it would not have caught
# the melting range drifting apart, so both rows are moved together.
nickel-alloy,Hastelloy C-276,N10276,2.4819,NiMo16Cr15W,8.89,1323-1371,Haynes International HASTELLOY C-276 alloy brochure,2026-08
duplex-steel,2205,S32205 / S31803,1.4462,X2CrNiMoN22-5-3,7.80,1430,SIJ Acroni SINOXX 4462 datasheet (density and composition limits) and Aperam DX1803/DX2205 Technical Data Sheet (melting temperature),2026-08
duplex-steel,32750,S32750,1.4410,X2CrNiMoN25-7-4,7.80,1445,Aperam DX2507 Technical Data Sheet,2026-08
# ASTM A240/A240M-25a supplies the chemistry limits. Density 7.80 confirmed by
# the business owner ("7.8 is the correct density for duplex"). Melting range
# cleared: ASTM A240 does not publish one, and the seeded 1350-1400 had no
# source. Footnote L: Cr + 3.3(Mo + ½W) + 16 N ≥ 41.
duplex-steel,32760,S32760,1.4501,X2CrNiMoCuWN25-7-4,7.80,,ASTM A240/A240M-25a,2026-08
# ASTM A240/A240M-25a (Type 904L, footnote G) supplies the chemistry limits.
# Density 8.00 is the established figure for N08904 (ASTM table does not specify
# it). Melting range cleared: ASTM A240 does not publish one and the seeded
# 1300-1390 had no source.
special-stainless-steel,904L,N08904,1.4539,X1NiCrMoCu25-20-5,8.00,1383,ASTM A240/A240M-25a (composition limits) and Aperam 904L Technical Data Sheet (melting and physical properties) - identity re-verified against voestalpine BOHLER A962RC datasheet 04.2026 which prints all four designations identically,2026-09
# Outokumpu owns the 254 SMO trademark and its product page is the mill source.
# Identity confirmed there: the standards panel cites EN 10088-2 / 10088-4 /
# 10028-7 as 1.4547 and ASTM A240 / ASME SA-240 as UNS S31254. Density 8 kg/dm3
# is the same number as 8.00 g/cm3, so the seeded density stands.
#
# Melting range emptied: the Outokumpu physical-properties table publishes
# density, modulus, expansion, conductivity, heat capacity and resistivity and
# NO melting range, so the seeded 1320-1390 has no source behind it.
#
# CHEMISTRY ADDED 2026-08-29 from voestalpine BOHLER A965SA - a second mill, which
# independently prints the same three identifiers (S31254 / 1.4547 /
# X1CrNiMoCuN20-18-7) and so cross-confirms the identity above. Its composition
# table is scoped "Refers to ASTM A479 S31254", so the standard is named in the
# source below rather than left implied - the caption is built from this one field
# and serves BOTH tables, so attributing BOHLER's limits to Outokumpu's page would
# be a false citation. Same shape as the HAYNES 25 row.
special-stainless-steel,254 SMO,S31254,1.4547,X1CrNiMoCuN20-18-7,8.00,,Outokumpu Ultra 254 SMO product page (identity and physical constants) and voestalpine BOHLER A965SA datasheet to ASTM A479 S31254 (composition limits),2026-08
# AL-6XN WAS CARRYING ALLOY 926'S IDENTITY. 1.4529 / X1NiCrMoCuN25-20-7 is the
# EN designation VDM prints on its own alloy 926 sheet, and it was seeded onto
# both rows - which is how two different UNS numbers, N08367 and N08926, came to
# publish one European identity between them. ATI's AL-6XN data sheet lists only
# ASTM and ASME standards and no EN number at all, so wnr and en_name go EMPTY
# here: not verified, rather than "-" for "none exists", because cross-reference
# tables do map 1.4529 onto N08367 as well and this file should not settle that
# on its own. Density 0.291 lb/in3 / 8.06 g/cm3 and melting 2410-2550 F /
# 1320-1400 C both confirmed from the sheet's Table 15.
special-stainless-steel,AL-6XN,N08367,,,8.06,1320-1400,ATI AL-6XN alloy data sheet,2026-08
# ASTM A240/A240M-25a supplies the chemistry limits (includes the formula limit
# Nb ≥ 8×C, max 1.00). Density 8.08 is the established figure for N08020. Melting
# range cleared: ASTM A240 does not publish one and the seeded 1425-1445 had no
# source. Werkstoff 2.4660 is the EN designation for Alloy 20.
special-stainless-steel,Alloy 20,N08020,2.4660,-,8.08,,ASTM A240/A240M-25a,2026-08
# ALLOY 28 IS SANICRO 28. Alleima owns that trademark and its seamless tube and
# pipe datasheet is the mill source, read 2026-08-26. The Standards panel prints
# every identifier on this row: UNS N08028, EN Number 1.4563, W.Nr. 1.4563 and
# EN Name "X 1 NiCrMoCu 31-27-4" - spaced there, closed up here to match the
# rest of this file, which is a formatting convention and not a different claim.
# Density 8.0 g/cm3 / 0.29 lb/in3 confirms the seed, and Industeel prints the
# same 8.0 kg/dm3 independently on its UR 28 sheet for the same UNS number.
#
# MELTING RANGE EMPTIED, for the same reason as 254 SMO above. The datasheet's
# Physical properties section publishes density, magnetic permeability, thermal
# conductivity, specific heat, resistivity, thermal expansion and modulus - and
# no melting range. The seeded 1350-1370 has nothing behind it. Empty also
# leaves the pages' own melting figures alone, which is what the constant-strip
# gate does with an empty cell, rather than replacing them with a guess.
special-stainless-steel,Alloy 28,N08028,1.4563,X1NiCrMoCu31-27-4,8.00,,Alleima Sanicro 28 datasheet (seamless tube and pipe) for the physical constants - all four designations re-verified against voestalpine BOHLER A959 datasheet 11.2025 which prints them identically,2026-09
# VDM Alloy 31 / Nicrofer 3127 hMo data sheet of August 2024. Its Table 1 heads
# the grade "1.4562 - X1NiCrMoCu32-28-7" against standard D and "N08031" against
# UNS, so both seeded identifiers are the mill's own.
#
# BOTH PHYSICAL CONSTANTS WERE WRONG. Density was seeded 8.10 against the
# sheet's 8.05 g/cm3 (0.29 lb/in3) at 20 C, and the melting range 1320-1360
# against its 1330-1370 C (2426-2498 F). Neither is a rounding difference.
special-stainless-steel,Alloy 31,N08031,1.4562,X1NiCrMoCu32-28-7,8.05,1330-1370,VDM Alloy 31 data sheet (August 2024),2026-08
# The row 1.4529 actually belongs to - see the AL-6XN note above. VDM Metals
# developed this grade as Cronifer 1925 hMo and its April 2024 data sheet prints
# the designations table outright: EN 1.4529 X1NiCrMoCuN25-20-7, UNS N08926.
# Melting range corrected from the seeded 1320-1400 to the sheet's 1320-1390.
special-stainless-steel,Alloy 926,N08926,1.4529,X1NiCrMoCuN25-20-7,8.10,1320-1390,VDM Metals VDM Alloy 926 data sheet April 2024,2026-08
# SANICRO 35 - Alleima owns the mark and its seamless tube and pipe datasheet is
# the source. Outokumpu makes the plate and sheet under licence from Alleima and
# says so on its own product page; that page is the source for the flat-product
# standard in docs/specs.csv and for nothing on this row.
#
# WERKSTOFF AND EN NAME READ "-", NOT EMPTY, and the difference matters. Alleima
# prints EN Number / EN Name / W.Nr. / DIN / SS / AFNOR in the Standards panel of
# its Sanicro 28 datasheet and prints NONE of them for Sanicro 35 - the same
# publisher, the same panel, one grade filled in and the other not. That is
# selective silence, which is what "-" is for: the mill publishes no such
# designation. It is a young grade and no EN number has been assigned to it.
#
# MELTING RANGE EMPTY for the same reason as Sanicro 28 and 254 SMO: the
# Physical properties section gives density, conductivity, specific heat,
# expansion, resistivity and modulus, and no melting range.
special-stainless-steel,Sanicro 35,N08935,-,-,8.10,,Alleima Sanicro 35 datasheet (seamless tube and pipe),2026-08
# AM 350 (AISI 633): UNS S35000, no Werkstoff and no EN symbolic designation -
# the Lamineries Matthey AM 350 data sheet prints "-" for both - density 7.94
# annealed (7.81 sub-zero cooled and tempered) and melting 1370-1400 C, read
# from that sheet (2026-09). grades.csv has no AISI column; AISI 633 is named in
# the AM 350 page body instead.
special-stainless-steel,AM 350,S35000,-,-,7.94,1370-1400,Lamineries Matthey AM 350 Stainless Steel data sheet,2026-09
# These two duplicate the haynes/25 and haynes/188 rows above under a second
# family key, the same shape as the nickel-alloy duplicates: no page resolves to
# them for identity, but docs/specs.csv keys rows to them, so deleting either is
# a hard error at build-grades.mjs:231. They are cleared here by transcribing the
# verified twin, and every figure traces to the bulletin named in `source`. The
# duplicate-UNS guard requires wnr, en_name and density to match the twin exactly.
cobalt-alloy,Haynes 25 (L-605),R30605,2.4964,CoCr20W15Ni,9.07,1330-1410,Haynes International HAYNES 25 alloy page and voestalpine BOHLER L605 datasheet,2026-08
cobalt-alloy,Haynes 188,R30188,,,8.98,1315-1410,Haynes International HAYNES 188 alloy page,2026-08
# Elgiloy is NOT a Haynes alloy - Elgiloy Specialty Metals holds it - so the Haynes
# bulletins that cleared the two rows above say nothing about it. Cleared 2026-08-27
# from that mill's own Strip Products datasheet, which heads the grade
# "UNS R30003 / W.Nr 2.4711" and gives density as 0.30 lb/in3 at 70F and 8.30 g/cm3
# at 20C. Both seeded values were right; they simply had nothing behind them.
#
# melting_c was 1440-1495 and is now EMPTY. That sheet publishes density, moduli,
# expansion, resistivity and thermal conductivity and stops - no melting range at
# all, the same selective silence as the Sanicro and Alleima F1537 sheets. The
# seeded range had no source, and empty leaves whatever a page states alone rather
# than replacing it with an unsourced figure.
#
# en_name stays "-" and is a statement, not a gap: the sheet prints a W.Nr for this
# grade and no EN designation beside it, so the omission is the mill's.
cobalt-alloy,Elgiloy,R30003,2.4711,-,8.30,,Elgiloy Specialty Metals Strip Products datasheet,2026-08
# MP35N and CoCrMo exist here because docs/specs.csv gained rows for them and a
# specs.csv grade with no grades.csv row is a hard error at build-grades.mjs:231.
#
# MP35N, verified 2026-08-27 against the printed Carpenter Technology datasheet.
# It was seeded pending for one day because that PDF's text layer reads cleanly
# for words but subsets its digit glyphs, so the same escape decodes to different
# digits in different stream objects and no number in it could be trusted. Reading
# the rendered sheet is what cleared it - do that, do not reconstruct digits.
#
# DENSITY: THE SHEET CONTRADICTS ITSELF and 8.43 is a choice, not a transcription.
# Its Physical properties table gives SPECIFIC GRAVITY 8.43 in both the English
# and Metric columns, then DENSITY as 0.308 lb/in3 and 8525 kg/m3 - which is
# 8.53 g/cm3, about 1% higher. The two rows cannot both be right: a specific
# gravity of 8.43 is 8430 kg/m3. 8.43 is recorded because it is the figure the
# sheet states twice and the one the trade quotes, and 0.308 lb/in3 looks like a
# mis-rounding of the 0.3046 that 8.43 converts to. Anyone quoting a weight where
# 1% matters should confirm it with the mill rather than trust this cell.
#
# wnr and en_name are empty rather than "-": the sheet has no DIN or EN field at
# all, so its silence is not the deliberate blank a Haynes DIN row would be.
cobalt-alloy,MP35N,R30035,,,8.43,1316-1443,Carpenter Technology MP35N datasheet,2026-08
# CoCrMo is verified: Alleima's F1537 bar datasheet publishes 8.25 g/cm3 and gives
# no melting range at all, the same selective silence as the Sanicro sheets, so
# melting_c is empty and the pages keep whatever they state. wnr and en_name are
# empty and NOT "-" - Alleima's standards list for this grade names only ASTM
# and ISO numbers, and nothing read so far shows whether that omission is
# deliberate the way the Sanicro 35 panel's blank W.Nr row was.
cobalt-alloy,CoCrMo,R31537,,,8.25,,Alleima F1537 bar datasheet,2026-08
# Stellite is its own family (family key `stellite`, grades 6/12/21), not a set of
# grades under cobalt-alloy, so /stellite/6/ and its form pages resolve. Kennametal
# owns the STELLITE mark and publishes a technical data sheet per grade
# (stellite.com): UNS R30006 / R30012 / R30021 for the rod-and-cast form, the
# densities, melting ranges and chemistry are read from those. Kennametal prints no
# Werkstoff or EN number for these cobalt alloys, so wnr and en_name stay empty.
stellite,6,R30006,,,8.44,1250-1360,Kennametal Stellite 6 Alloy technical data (B-20-06297),2026-09
stellite,12,R30012,,,8.53,1225-1280,Kennametal Stellite 12 Alloy technical data (B-20-06299),2026-09
stellite,21,R30021,,,8.33,1295-1435,Kennametal Stellite 21 Alloy technical data (B-20-06300),2026-09
# --- NICHROME --- VDM Metals' three Basic Information sheets, read 2026-08-25.
#
# WHY VDM AND NOT A BULLETIN ALREADY IN THIS FILE: Nichrome is not a Special
# Metals or a Haynes grade, so neither mill publishes it and the seven lint
# findings on these pages sat unclearable for want of a source. VDM Metals
# publishes all three as VDM Alloy HT 80 / HT 70 / HT 60. The site does not
# stock VDM material - these sheets are the reference the figures were verified
# against, which is exactly what the `source` column records.
#
# THE UNS NUMBERS WERE WRONG ON FIVE PAGES AND ON THIS FILE, in the same way
# twice: a distributor listing circulates N0600x where the mill prints N0602x.
# vlzps.ru gives NiCr 60/15 as N06004; VDM's own sheet gives N06024. The site
# had N06004 on two 60/15 pages, N06060 on the third, and N06003 - which is
# 70/30's number - on two 80/20 pages. Nothing here may be filled from a
# distributor; see the AMS 5542 note at the head of docs/specs.csv.
#
# 70/30 WAS THE ONE PAGE THE LINT WAS WRONG ABOUT. /NiCr/70-30/plates/ cited
# N06003 and was reported as contradicting this file, because the cell read "-"
# and "-" claims the source publishes no such designation. It does: N06003 is
# exactly right for 70/30. That is what "-" must never be used to mean.
#
# The Werkstoff number for 60/15 read 1.4867 here and 2.4867 on the round-bar
# page, so the lint reported the page. The page was right - 1.4xxx is a steel
# prefix and this is a nickel alloy.
#
# VDM prints 70/30's melting point as "approx. 1,400 °C"; the seeded 1380 had no
# source. 80/20's density is 8.3 and not the seeded 8.40, and 60/15's is 8.2.
nichrome,80/20,N06023,2.4869,NiCr 80 20,8.3,1400,VDM Metals VDM Alloy HT 80 Basic Information sheet 03/2020,2026-08
nichrome,70/30,N06003,2.4658,NiCr 70 30,8.1,1400,VDM Metals VDM Alloy HT 70 Basic Information sheet 03/2020,2026-08
nichrome,60/15,N06024,2.4867,NiCr 6015,8.2,1390,VDM Metals VDM Alloy HT 60 Basic Information sheet 03/2020,2026-08
# NiCr 40/20, 30/20, 20/25 have NO assigned UNS. JLC Electromet's Nickel-Chromium
# data sheet prints "-" in the UNS column for these three DIN 17470 grades while
# giving a UNS for 80/20-60/15, so the "-" is a statement, not a gap. Its Werkstoff
# column agrees with VDM's verified 2.4869 / 2.4658 / 2.4867 on the grades that
# overlap, so 1.4860 (30/20) and 1.4843 (20/25) are trusted; 40/20 has none. The
# sheet publishes density but no melting point, so melting_c stays empty. Its UNS
# column is NOT a source - it repeats the trade's N06003/N06004 for 80/20 and
# 60/15, the very errors VDM corrected to N06023/N06024; here it only says "-".
nichrome,40/20,-,-,,7.95,,JLC Electromet Nickel-Chromium Heating & Resistance Alloys data sheet (December 2020),2026-09
nichrome,30/20,-,1.4860,,7.90,,JLC Electromet Nickel-Chromium Heating & Resistance Alloys data sheet (December 2020),2026-09
nichrome,20/25,-,1.4843,,7.80,,JLC Electromet Nickel-Chromium Heating & Resistance Alloys data sheet (December 2020),2026-09
